PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipGNV1BF            : 5                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) gni1a2gnv1b.c       1.6 05/06/03           
SOFTWARE LINK TIME            : @(#) 2003-09-11 14:15:47 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : GRACE B                                         
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769540.000000 (2003-09-13 23:59:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116773080.000000 (2003-09-14 00:58:00.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:54:55 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:54:55 by l0tol1                   
FILESIZE (BYTES)              : 14451                                           
FILENAME                      : newasc/GNV1B_2003-09-14_B_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-13_B_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-09-22 07:12:53 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:37:55 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-15_B_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:52:31 by l0tol1            
INPUT FILE NAME               : A2B<-GNV1B_2003-09-14_B_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
116771280 B E 1078301.427 -4345841.450975349 5179334.804013696 0.01729357793819045 0.01788794478955287 0.1315050490977075 -1509.79581 5571.25878002739 4992.814240000001 1.241596578415448e-05 1.728260333154231e-05 0.00352362963209167  00000000
116771340 B E 986878.9269993148 -4001771.269993833 5467105.786003427 0.01734411182643064 0.01819452877056123 0.1316970456252935 -1536.01614 5893.514150006852 4596.014379993147 1.296111696930075e-05 1.924680730863624e-05 0.003600155131282644  00000000
116771400 B E 894170.7699999999 -3639142.244 5730450.323 0.017373 0.018444 0.1318066766138954 -1552.67453 6189.64895 4178.907 1.407e-05 2.238e-05 0.00375099986670221  00000000
116771460 B E 800745.8910000001 -3259563.214 5968206.141 0.017395 0.018686 0.01458 -1559.93945 6458.296960000001 3743.37786 1.273e-05 1.96e-05 1.917e-05  00000000
116771520 B E 707161.505 -2864721.238 6179326.42 0.017414 0.018928 0.01403 -1558.03274 6698.21793 3291.38865 1.194e-05 1.782e-05 1.791e-05  00000000
116771580 B E 613959.9620000001 -2456373.838 6362884.125 0.017426 0.019144 0.013522 -1547.22775 6908.30462 2824.96849 1.181e-05 1.759e-05 1.726e-05  00000000
116771640 B E 521665.7320000001 -2036340.881 6518075.67 0.017428 0.019327 0.013063 -1527.84653 7087.58582 2346.20156 1.236e-05 1.914e-05 1.714e-05  00000000
116771700 B E 430782.587 -1606496.446 6644224.04 0.017425 0.019486 0.012664 -1500.25636 7235.22649 1857.22249 1.349e-05 2.219e-05 1.741e-05  00000000
116771760 B E 341790.98 -1168760.413 6740781.68 0.017423 0.01965 0.012345 -1464.86701 7350.53655 1360.20975 1.206e-05 1.848e-05 1.648e-05  00000000
116771820 B E 255145.567 -725089.598 6807332.636 0.017416 0.019803 0.012113 -1422.12774 7432.9744 857.36898 1.122e-05 1.608e-05 1.594e-05  00000000
116771880 B E 171272.99 -277468.954 6843593.898 0.017399 0.01992 0.011965 -1372.52264 7482.14378 350.92572 1.111e-05 1.577e-05 1.575e-05  00000000
116771940 B E 90569.85400000001 172097.251 6849416.441000001 0.01737 0.019996 0.011901 -1316.56833 7497.797839999999 -156.88159 1.173e-05 1.773e-05 1.587e-05  00000000
116772000 B E 13400.875 621594.4399999999 6824785.624 0.017336 0.020048 0.011922 -1254.81059 7479.83947 -663.81327 1.297e-05 2.132e-05 1.629e-05  00000000
116772060 B E -59902.755 1069006.682 6769821.03 0.017307 0.02007 0.012029 -1187.82036 7428.3208 -1167.63638 1.174e-05 1.799e-05 1.592e-05  00000000
116772120 B E -129044.74 1512325.671 6684775.787 0.017282 0.020013 0.012212 -1116.18919 7343.4438 -1666.13393 1.111e-05 1.636e-05 1.579e-05  00000000
116772180 B E -193764.791 1949559.683 6570035.308999999 0.017257 0.019863 0.012457 -1040.52507 7225.55879 -2157.11505 1.116e-05 1.688e-05 1.599e-05  00000000
116772240 B E -253839.517 2378742.383 6426115.475 0.017233 0.019629 0.012757 -961.4495499999999 7075.16138 -2638.42282 1.189e-05 1.927e-05 1.665e-05  00000000
116772300 B E -309083.127 2797941.506 6253660.401000001 0.017215 0.019338 0.013109 -879.59363 6892.89172 -3107.94071 1.314e-05 2.279e-05 1.784e-05  00000000
116772360 B E -359347.881 3205267.553 6053439.747 0.017211 0.019007 0.013501 -795.59407 6679.534839999999 -3563.60276 1.198e-05 1.99e-05 1.671e-05  00000000
116772420 B E -404524.322 3598882.345 5826345.33 0.017219 0.01861 0.013906 -710.08957 6436.015399999999 -4003.40406 1.138e-05 1.84e-05 1.612e-05  00000000
116772480 B E -444541.261 3977007.272 5573387.253 0.017235 0.018137 0.014302 -623.71621 6163.393779999999 -4425.4082 1.141e-05 1.848e-05 1.638e-05  00000000
116772540 B E -479365.491 4337931.289 5295689.569 0.017257 0.017595 0.01468 -537.10348 5862.8611 -4827.75387 1.206e-05 1.99e-05 1.769e-05  00000000
116772600 B E -509001.3 4680018.728 4994485.601000001 0.01729 0.017007 0.015047 -450.87113 5535.738689999999 -5208.6621 1.322e-05 2.221e-05 2.003e-05  00000000
116772660 B E -533489.773 5001716.974 4671112.629000001 0.017338 0.016416 0.015408 -365.62528 5183.47231 -5566.44821 1.216e-05 1.989e-05 1.794e-05  00000000
116772720 B E -552907.843 5301563.683999999 4327005.946 0.017395 0.015827 0.015735 -281.95395 4807.62325 -5899.53128 1.167e-05 1.852e-05 1.681e-05  00000000
116772780 B E -567367.083 5578193.359 3963692.51 0.017456 0.015236 0.016004 -200.4234 4409.85744 -6206.4362 1.18e-05 1.813e-05 1.712e-05  00000000
116772840 B E -577012.35 5830343.575 3582784.577 0.017522 0.014649 0.016214 -121.5767 3991.94494 -6485.79627 1.253e-05 1.857e-05 1.901e-05  00000000
116772900 B E -582020.3400000001 6056861.182 3185972.883 0.017598 0.014085 0.01638 -45.93136 3555.75709 -6736.36438 1.376e-05 1.958e-05 2.222e-05  00000000
116772960 B E -582597.914 6256708.120999999 2775019.063 0.017687 0.013576 0.016535 26.02546 3103.25617 -6957.02647 1.278e-05 1.793e-05 1.87e-05  00000000
116773020 B E -578980.1179999999 6428966.301 2351747.475 0.017781 0.013131 0.016661 93.84208 2636.47658 -7146.80451 1.228e-05 1.686e-05 1.632e-05  00000000
116773080 B E -571428.0059999999 6572841.762 1918037.18 0.017877 0.012746 0.016726 157.10325 2157.52157 -7304.85445 1.234e-05 1.632e-05 1.584e-05  00000000
