PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAG1XF            : 15                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) TimeCorrHK.c       1.22 08/18/03           
SOFTWARE LINK TIME            : @(#) 2003-09-17 12:35:00 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : Nodef                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769604.924504 (2003-09-14 00:00:04.92)       
TIME LAST OBS(SEC PAST EPOCH) : 116770174.924360 (2003-09-14 00:09:34.92)       
NUMBER OF DATA RECORDS        : 58                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:49:51 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:49:51 by l0tol1                   
FILESIZE (BYTES)              : 10146                                           
FILENAME                      : newasc/MAG1B_2003-09-14_A_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAG1A<-MAG1A_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : MAG1A<-2003-09-15 05:31:52 by l0tol1            
INPUT FILE NAME               : CLK1B<-CLK1B_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2003-10-01 01:48:07 by l0tol1            
INPUT FILE NAME               : TIM1B<-TIM1B_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2003-09-15 05:35:46 by l0tol1            
INPUT FILE NAME               : A2B<-MAG1B_2003-09-14_A_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
116770054 924390 A G -17.53084182739258 -2.095053911209106 -11.8525390625 0 0.263671875 0 18.662109375 1.9921875 30.1171875 54 54 53 120  00000000
116770064 924388 A G -17.55956840515137 -1.907100081443787 -11.697265625 0 5.361328125 0 22.55859375 0 36.064453125 54 54 53 120  00000000
116770074 924385 A G -17.91789245605469 -2.176405906677246 -10.97265625 0 0.5859375 0 13.154296875 0.5859375 22.03125 54 54 53 120  00000000
116770084 924382 A G -18.41637420654297 -2.496725797653198 -10.22216796875 0.791015625 0 0 3.33984375 0.5859375 3.427734375 54 54 53 120  00000000
116770094 924380 A G -18.59157562255859 -2.560493469238281 -9.73046875 0 0 0 0.087890625 0.732421875 0.17578125 54 54 53 120  00000000
116770104 924377 A G -18.70796775817871 -2.186196327209473 -9.6787109375 0 0 0 7.8515625 0.5859375 0 54 54 53 120  00000000
116770114 924375 A G -18.92452049255371 -2.463424682617188 -8.9541015625 1.2890625 0 5.888671875 0 2.28515625 0 54 54 53 120  00000000
116770124 924372 A G -19.42622375488281 -2.665870904922485 -8.28125 8.14453125 0 24.55078125 0 4.892578125 0 54 54 53 120  00000000
116770134 924370 A G -19.54570770263672 -2.610154628753662 -7.94482421875 7.91015625 0 24.814453125 0 0 0 54 54 53 120  00000000
116770144 924367 A G -19.66519165039062 -2.554438352584839 -7.58251953125 7.91015625 4.365234375 23.90625 0 0.087890625 0 54 54 53 120  00000000
116770154 924365 A G -19.43588638305664 -2.312249898910522 -7.453125 2.255859375 12.1875 7.3828125 0 0 0.17578125 54 54 53 120  00000000
116770164 924362 A G -19.52032852172852 -2.243780136108398 -7.11669921875 1.787109375 19.453125 4.86328125 0.703125 0 0 54 54 53 120  00000000
116770174 924360 A G -19.44393730163574 -2.017565727233887 -6.7802734375 0 0 0 0 0 0.17578125 54 54 53 120  00000000
