  NSN/PRN #s, masses, and yaw rates satellites.   Last updated w/ comments R. King  18 June 2005    
PRN SV BLK  MASS(G)  BIASED  YAW RATE  YR MO DY HR MN   DX      DY      DZ     (see key at bottom)
 1, 32  3   972900.     P     0.1190 1995 03 26 00 00   0.279   0.      0.9519  
 1, 32  3   972900.     N     0.1190 1995 03 27 17 29   0.279   0.      0.9519  
 1, 32  3   972900.     Y     0.1190 1995 03 29 00 00   0.279   0.      0.9519  
 1, 32  3   972900.     P     0.1230 1995 09 21 05 24   0.279   0.      0.9519  
 3, 33  3   972900.     P     0.1230 1996 03 28 00 00   0.279   0.      0.9519   #launched 96 03 28; set healthy 96 04 09
 4, 34  3   972900.     U     0.1190 1993 10 26 00 00   0.279   0.      0.9519   #launched 93 10 26; set healthy 93 11 22
 4, 34  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
 4, 34  3   972900.     P     0.1190 1995 06 13 22 07   0.279   0.      0.9519  
 5, 35  3   972900.     U     0.1190 1993 08 30 00 00   0.279   0.      0.9519   #launched 93 08 30; set healthy 93 09 28
 5, 35  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
 5, 35  3   972900.     N     0.1190 1995 07 05 11 03   0.279   0.      0.9519  
 5, 35  3   972900.     P     0.1190 1995 11 17 00 00   0.279   0.      0.9519  
 6, 36  3   972900.     U     0.1190 1994 03 10 00 00   0.279   0.      0.9519   #launched 94 03 10; set healthy 94 03 28
 6, 36  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
 6, 36  3   972900.     P     0.1270 1995 04 02 19 44   0.279   0.      0.9519  
 7, 37  3   972900.     U     0.1190 1993 05 13 00 00   0.279   0.      0.9519   #launched 93 05 13; set healthy 93 06 12
 7, 37  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
 7, 37  3   972900.     N     0.1190 1995 03 30 00 00   0.279   0.      0.9519  
 7, 37  3   972900.     P     0.1280 1995 03 31 04 00   0.279   0.      0.9519  
 9, 39  3   972900.     U     0.1190 1993 07 20 00 00   0.279   0.      0.9519   #launched 89 08 18; set healthy 89 14 89
 9, 39  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
 9, 39  3   972900.     P     0.1280 1995 10 23 00 00   0.279   0.      0.9519  
10, 40  3   972900.     P     0.0980 1996 07 16 00 00   0.279   0.      0.9519   #launched 96 07 16; set healthy 96 08 15
30, 30  3   972900.     P     0.1190 1996 09 12 00 00   0.279   0.      0.9519   #launched 96 09 12; set healthy 96 10  1
13, 43  4  1100000.     P     0.1230 1997 07 23 00 00  -0.0031 -0.0012  0.       #launched 97 07 23; set healthy 98 01 31 -- ant offsets provisional
 8, 38  3   972900.     P     0.1230 1997 11 06 00 20   0.279   0.      0.9519    -- yaw values provisional
11, 46  4  1100000.     P     0.1230 1999 10 07 00 00  -0.0031 -0.0012  0.       #launched 1999 10 07; set healthy 2000 01 03
20, 51  4  1100000.     P     0.1230 2000 05 10 09 46  -0.0031 -0.0012  0.       #launched 2000 05 11; set healthy 2000 06 01
28, 44  4  1100000.     P     0.1230 2000 07 16 00 00  -0.0031 -0.0012  0.       #launched 2000 07 16; set healthy 2000 08 17
14, 41  4  1100000.     P     0.1230 2000 11 10 00 00  -0.0031 -0.0012  0.       #launched 2000 11 10; set healthy 2000 12 10
18, 54  4  1100000.     P     0.1230 2001 01 30 00 00  -0.0031 -0.0012  0.       #launched 2001 30 01; set healthy 2001 02 15
16, 56  4  1100000.     P     0.1230 2003 02 07 16 00  -0.0031 -0.0012  0.       #launched 2003 01 29; tracking before healthy 
21, 45  4, 1100000.     P     0.1230 2003 04 01 00 00  -0.0031 -0.0012  0.       #laucnhed 2003 3 31;       
22, 47  5, 1100000.     P     0.1230 2003 12 21 00 00  -0.0031 -0.0012  0.       #launched 2003 12 21;  GPS IIR-10 
19, 59  5, 1100000.     P     0.1230 2004 03 21 00 00  -0.0031 -0.0012  0.       #launched 2004 03 20;  GPS IIR-11
23, 60  5, 1100000.     P     0.1230 2004 06 08 00 00  -0.0031 -0.0012  0.       #launched 2004 06 08;  GPS IIR-12
 2, 61  5, 1100000.     P     0.1230 2004 11 12 00 00  -0.0031 -0.0012  0.       #launched 2004 11 06;  GPS IIR-13 
17, 53  4, 1100000.     P     0.1230 2005 09 30 00 00  -0.0031 -0.0012  0.       #active   2005 09 30   GPS IIR-13 

        BLK: 1=Blk I  2=Blk II    3=Blk IIA    4=Blk IIR        
        BIASED (yaw): Y=normal  A=anti-normal  P= +ive only, N= -ive only  U=unbiased 
        SVANT-DXYZ: Antenna offsets from center of mass (m)

        New assignments in code, not reflected in table:
        4=Blk IIR-A  (SV 41 43 44 45 51 53 54 56);  5=Blk IIR-B (SV 47 59 60 61)    
        These affect antenna offsets, which with the absolute PCVs are different for each SV,
        so no point in changing svnav.dat.
